2026-05-02T10:16:06.911634+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: lightgbm
2026-05-02T10:16:07.046944+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9, 'f1': 0.899749373433584, 'precision': 0.9023569023569024, 'recall': 0.9, 'roc_auc': 0.9633333333333333}
2026-05-02T10:16:11.496039+0530 | INFO | app.ml.trainer:train_all_models:75 | lightgbm -> F1: 0.8997
2026-05-02T10:16:11.497969+0530 | INFO | app.ml.trainer:train_all_models:83 | Best model: logistic_regression with F1: 0.9333
2026-05-02T10:16:11.498312+0530 | INFO | app.ml.trainer:train_all_models:86 | Starting Optuna tuning for: logistic_regression
2026-05-02T10:16:11.657000+0530 | INFO | app.ml.trainer:tune_best_model:188 | Best Optuna params: {'C': 9.573366757813385, 'solver': 'lbfgs'}
2026-05-02T10:16:11.679845+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0, 'roc_auc': 1.0}
2026-05-02T10:25:40.180509+0530 | INFO | app.main:lifespan:15 | Shutting down
2026-05-03T10:23:46.095631+0530 | INFO | app.core.logging:setup_logging:44 | Logging initialized at level: INFO
2026-05-03T10:23:46.106106+0530 | INFO | app.main:lifespan:13 | Starting ML Pipeline API
2026-05-03T10:25:13.938267+0530 | INFO | app.api.routes.upload:upload_csv:79 | File uploaded: iris.csv -> D:\my projects\mini_project\ml-pipeline\backend\data\uploads\06572937-bb0c-4b70-bfd1-418f1eca7d2c\data.csv
2026-05-03T10:26:15.187140+0530 | INFO | app.ml.preprocessing.validator:validate_dataset:125 | Dataset validation passed. 150 rows, 4 features, 3 classes
2026-05-03T10:26:15.187965+0530 | INFO | app.ml.preprocessing.detector:detect_column_types:76 | Column detection complete. Numerical: 4, Categorical: 0, Dropped: 0
2026-05-03T10:26:15.247806+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:99 | Preparing data: 150 samples, 4 features
2026-05-03T10:26:15.248407+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:105 | Target classes: ['setosa', 'versicolor', 'virginica']
2026-05-03T10:26:15.277793+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:116 | Train size: 120, Test size: 30
2026-05-03T10:26:15.285906+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:123 | Preprocessing complete. Feature shape: (120, 4) -> (120, 4)
2026-05-03T10:26:15.288628+0530 | INFO | app.ml.preprocessing.pipeline:save_preprocessor:146 | Preprocessor saved to D:\my projects\mini_project\ml-pipeline\backend\data\uploads\06572937-bb0c-4b70-bfd1-418f1eca7d2c
2026-05-03T10:26:15.404311+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: logistic_regression
2026-05-03T10:26:15.954091+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9333333333333333, 'f1': 0.9333333333333332, 'precision': 0.9333333333333332, 'recall': 0.9333333333333332, 'roc_auc': 0.9966666666666667}
2026-05-03T10:26:39.099513+0530 | INFO | app.ml.trainer:train_all_models:75 | logistic_regression -> F1: 0.9333
2026-05-03T10:26:39.101984+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: random_forest
2026-05-03T10:26:39.437796+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9, 'f1': 0.899749373433584, 'precision': 0.9023569023569024, 'recall': 0.9, 'roc_auc': 0.9933333333333333}
2026-05-03T10:26:43.961998+0530 | INFO | app.ml.trainer:train_all_models:75 | random_forest -> F1: 0.8997
2026-05-03T10:26:43.964957+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: xgboost
2026-05-03T10:26:44.357399+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9333333333333333, 'f1': 0.9333333333333332, 'precision': 0.9333333333333332, 'recall': 0.9333333333333332, 'roc_auc': 0.965}
2026-05-03T10:26:49.105094+0530 | INFO | app.ml.trainer:train_all_models:75 | xgboost -> F1: 0.9333
2026-05-03T10:26:49.107061+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: lightgbm
2026-05-03T10:26:49.425336+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9, 'f1': 0.899749373433584, 'precision': 0.9023569023569024, 'recall': 0.9, 'roc_auc': 0.9633333333333333}
2026-05-03T10:26:53.851663+0530 | INFO | app.ml.trainer:train_all_models:75 | lightgbm -> F1: 0.8997
2026-05-03T10:26:53.853988+0530 | INFO | app.ml.trainer:train_all_models:83 | Best model: logistic_regression with F1: 0.9333
2026-05-03T10:26:53.854294+0530 | INFO | app.ml.trainer:train_all_models:86 | Starting Optuna tuning for: logistic_regression
2026-05-03T10:26:53.988860+0530 | INFO | app.ml.trainer:tune_best_model:188 | Best Optuna params: {'C': 2.204627245446768, 'solver': 'saga'}
2026-05-03T10:26:54.003843+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9666666666666667, 'f1': 0.9665831244778612, 'precision': 0.9696969696969697, 'recall': 0.9666666666666667, 'roc_auc': 1.0}
2026-05-03T10:27:27.464611+0530 | INFO | app.ml.predictor:load_latest_model:33 | Loaded model from registry: models:/best-classifier/latest
2026-05-03T10:27:27.713043+0530 | WARNING | app.ml.predictor:compute_shap_values:133 | SHAP computation failed: index 0 is out of bounds for axis 0 with size 0
2026-05-03T10:28:41.382028+0530 | INFO | app.main:lifespan:15 | Shutting down
2026-05-03T10:28:46.527880+0530 | INFO | app.core.logging:setup_logging:44 | Logging initialized at level: INFO
2026-05-03T10:28:46.528212+0530 | INFO | app.main:lifespan:13 | Starting ML Pipeline API
2026-05-03T10:29:02.588078+0530 | INFO | app.api.routes.upload:upload_csv:79 | File uploaded: iris.csv -> D:\my projects\mini_project\ml-pipeline\backend\data\uploads\d95225bb-1183-45ac-bfae-e1b00b16141d\data.csv
2026-05-03T10:29:22.099669+0530 | INFO | app.ml.preprocessing.validator:validate_dataset:125 | Dataset validation passed. 150 rows, 4 features, 3 classes
2026-05-03T10:29:22.100244+0530 | INFO | app.ml.preprocessing.detector:detect_column_types:76 | Column detection complete. Numerical: 4, Categorical: 0, Dropped: 0
2026-05-03T10:29:22.101128+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:99 | Preparing data: 150 samples, 4 features
2026-05-03T10:29:22.101676+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:105 | Target classes: ['setosa', 'versicolor', 'virginica']
2026-05-03T10:29:22.103437+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:116 | Train size: 120, Test size: 30
2026-05-03T10:29:22.110172+0530 | INFO | app.ml.preprocessing.pipeline:prepare_data:123 | Preprocessing complete. Feature shape: (120, 4) -> (120, 4)
2026-05-03T10:29:22.113431+0530 | INFO | app.ml.preprocessing.pipeline:save_preprocessor:146 | Preprocessor saved to D:\my projects\mini_project\ml-pipeline\backend\data\uploads\d95225bb-1183-45ac-bfae-e1b00b16141d
2026-05-03T10:29:22.147775+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: logistic_regression
2026-05-03T10:29:22.430553+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9333333333333333, 'f1': 0.9333333333333332, 'precision': 0.9333333333333332, 'recall': 0.9333333333333332, 'roc_auc': 0.9966666666666667}
2026-05-03T10:29:39.622598+0530 | INFO | app.ml.trainer:train_all_models:75 | logistic_regression -> F1: 0.9333
2026-05-03T10:29:39.625023+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: random_forest
2026-05-03T10:29:39.944482+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9, 'f1': 0.899749373433584, 'precision': 0.9023569023569024, 'recall': 0.9, 'roc_auc': 0.9933333333333333}
2026-05-03T10:29:44.390927+0530 | INFO | app.ml.trainer:train_all_models:75 | random_forest -> F1: 0.8997
2026-05-03T10:29:44.393004+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: xgboost
2026-05-03T10:29:44.619826+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9333333333333333, 'f1': 0.9333333333333332, 'precision': 0.9333333333333332, 'recall': 0.9333333333333332, 'roc_auc': 0.965}
2026-05-03T10:29:48.812112+0530 | INFO | app.ml.trainer:train_all_models:75 | xgboost -> F1: 0.9333
2026-05-03T10:29:48.814197+0530 | INFO | app.ml.trainer:train_all_models:46 | Training: lightgbm
2026-05-03T10:29:48.925698+0530 | INFO | app.ml.evaluation.metrics:evaluate_model:54 | Metrics: {'accuracy': 0.9, 'f1': 0.899749373433584, 'precision': 0.9023569023569024, 'recall': 0.9, 'roc_auc': 0.9633333333333333}
2026-05-03T10:29:53.334680+0530 | INFO | app.ml.trainer:train_all_models:75 | lightgbm -> F1: 0.8997
2026-05-03T10:29:53.337463+0530 | INFO | app.ml.trainer:train_all_models:83 | Best model: logistic_regression with F1: 0.9333
